topic,model,sample_size,summary_index,summary_file,comment_index,is_minority,perspective_representation,informativeness,neutrality_balance,policy_approval
Openqa-AI_changes_human_life,gpt-5-mini,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/500/Openqa-AI_changes_human_life_summary_1.json,0,False,0.602347195148468,0.6129064559936523,0.5912219285964966,0.7027176022529602
Openqa-AI_changes_human_life,gpt-5-mini,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/500/Openqa-AI_changes_human_life_summary_1.json,1,False,0.7450972199440002,0.79891437292099,0.6598237156867981,0.7325179576873779
Openqa-AI_changes_human_life,gpt-5-mini,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/500/Openqa-AI_changes_human_life_summary_1.json,2,False,0.41562819480895996,0.7284771800041199,0.5606959462165833,0.4455873370170593
Openqa-AI_changes_human_life,gpt-5-mini,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/500/Openqa-AI_changes_human_life_summary_1.json,3,False,0.4859924912452698,0.6508995890617371,0.5672310590744019,0.5501983165740967
Openqa-AI_changes_human_life,gpt-5-mini,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/500/Openqa-AI_changes_human_life_summary_1.json,4,False,0.6517224907875061,0.7988973259925842,0.5502384305000305,0.5927709341049194
Openqa-AI_changes_human_life,gpt-5-mini,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/500/Openqa-AI_changes_human_life_summary_1.json,5,False,0.5222676992416382,0.6221103668212891,0.519058108329773,0.4301728308200836
Openqa-AI_changes_human_life,gpt-5-mini,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/500/Openqa-AI_changes_human_life_summary_1.json,6,False,0.6602560877799988,0.6770686507225037,0.7165303230285645,0.596733570098877
Openqa-AI_changes_human_life,gpt-5-mini,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/500/Openqa-AI_changes_human_life_summary_1.json,7,False,0.7197242379188538,0.7342010736465454,0.7003673315048218,0.712368369102478
Openqa-AI_changes_human_life,gpt-5-mini,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/500/Openqa-AI_changes_human_life_summary_1.json,8,False,0.5264133810997009,0.4973267912864685,0.6378384828567505,0.6359128952026367
Openqa-AI_changes_human_life,gpt-5-mini,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/500/Openqa-AI_changes_human_life_summary_1.json,9,False,0.44032779335975647,0.5762889385223389,0.5086114406585693,0.5639858841896057
